"","D10d0","D10d1","D10d2","D10d3","D10d4","D10d6","D10d9","D10d11","D10d13","D10d16","D10d18","D10d20","D10d24","D10d27","D10d30","D10d34"
"Ethane, nitro-",0,0,0,0,0,0,0,0,0,0.2452808146,0,0,0,0,0,0
"Ethanol, 2-(methylthio)-",0,0,0,0,0,0,0,0,0,0,0.0091952632,0,0,0,0,0
"Ethanol, 2-butoxy-",0,0,0,0,0,0,0,0,0,0.00220852283333333,0.0069684439,0,0.0036550415,0,0.0368152844666667,0
"Ethanol, 2-ethoxy-",0,0,0,0,0,0,0.0347666431333333,0,0,0,0.100136344366667,0,0.0262486302,0.00635779223333333,0,0
"Ethanol, 2-methoxy-",0,0,0,0,0,0,0.3892408547,0,0,0.0898219572666667,0.0479525300666667,0,0.0311783198333333,0.0125554341,0,0
"Ethanol, 2,2,2-trifluoro-",0,0,0,0,0,0,0,0.0233425512666667,0,0,0,0,0,0,0,0
"Ethanone, 1-(2-furanyl)-",0,0,0,0,0,0,0,0,0,0.00308581906666667,0,0,0,0,0,0
"Ethanone, 1-(2,6-difluorophenyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103261016666667
"Ethyl Acetate",0,0.0429311874,0,0,0,0,0,0,0,0.0503744254,0,0,0,0,0,0
"Ethyl bromide",0.00376466653333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethyl Chloride",0,0,0.00512220043333333,0,0.0291512763333333,0.0285429493333333,0,0,0,0,0,0,0,0,0,0
"Ethyl formate",0.143371027433333,0,0,0,0,0,0,0,0,0,0.0141794076,0,0,0,0,0
"Ethyl-1-propenyl ether",0.00105590506666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethylamine",0,0,0,0,0,0,0,0,0,0,0.0191308647,0,0,0,0,0
"Ethylenediamine",0,0,0,0,0,0,0.0161967512333333,0,0,0.117639697166667,0.154415079633333,0.1367792356,0,0,0,0
"Ethylenimine",0,0,0,0,0,0,0,0,1.69041764603333,5.40806961223333,3.8949486467,0,0.110889040766667,0,0.0706361355333333,0
"Formaldehyde",0,0,0,0,0,0,0,0,0,0,0,0.153992629933333,0,0,0,0
"Formamide",0,0,0,0,0,0,0,0,0,0,0.0215293108666667,0.0221531825666667,0,0,0,0
"Formamide, N-methyl-",0,0,0,0,0,0,0,0,0.0032941205,0.1576120423,0.221682431933333,0.2031321485,0,0,0,0
"Formamide, N-methylthio",0,0,0,0,0,0,0,0,0,0.0145948271,0,0,0,0,0,0
"Formamide, N,N-dimethyl-",0,0,0,0,0,0,0,0,0.3040691505,0.601516612133333,0.602781467133333,0,0.00411356916666667,0,0,0
"Formic acid, heptyl ester",0,0,0,0,0,0,0,0,0,0.0201934937,0,0,0,0,0,0
"Furan",0,0,0,0,0,0,0.0742589597666667,0,0,0,0,0,0,0,0,0
"Furan, 2-butyltetrahydro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183279136666667
"Furan, 2-ethyl-",0.0133598836666667,0.00893225853333333,0,0.0074401073,0,0,0,0,0,0.00439984826666667,0,0,0,0,0,0
"Furan, 2-pentyl-",0,0.0125329981333333,0,0,0,0,0,0,0,0.00844375246666667,0,0,0,0,0,0
"Furan, tetrahydro-3-methyl-",0,0,0,0,0.00322342233333333,0,0,0,0,0,0,0,0,0,0,0
"Furfural",0,0,0,0.0070243455,0,0,0,0,0,0,0,0,0,0,0,0
