"","D3d0","D3d1","D3d2","D3d3","D3d4","D3d5","D3d7","D3d11","D3d14","D3d16","D3d19","D3d24","D3d32","D3d38"
"Phenol",0,0,0,0,0,0,0,0,0,0,0,0,0.0639153535333333,0
"Phenol, 2-(1,1-dimethylethyl)-4-(1,1,3,3-tetramethylbutyl)-",0,0,0,0,0,0.000757033933333333,0,0,0,0.000890610033333333,0,0,0,0
"phenol, 2-(1,1,3,3-tetramethylbutyl)-",0.00768053096666667,0.00472251313333333,0,0,0,0,0,0,0,0,0,0,0,0
"Phenol, p-tert-butyl-",0,0,0,0,0,0,0,0,0,0.0039680108,0,0,0,0
"Phenyl trifluoromethyl ether",0,0,0,0,0.0040781989,0,0,0,0,0,0,0,0.00219188093333333,0
"Phthalic acid, 2-isopropylphenyl methyl ester",0,0,0,0,0,0,0,0,0,0,0,0.00339831136666667,0,0
"Phthalic anhydride",0,0.0087024996,0.0047776588,0,0,0.00691884786666667,0,0,0,0,0,0,0,0
"Propanal",0,0,0,0,0,0.0186988347333333,0,0,0,0,0,0,0,0
"Propanal, 2-methyl-",0,0.0229854297,0.0137745130333333,0,0,0,0,0,0,0,0.0109068341,0,0,0.0102860905666667
"Propanamide, 2-hydroxy-",0,0,0,0,0.0118274919333333,0,0,0,0,0,0,0,0,0
"Propane, 1,1,2,2-tetrafluoro-",0,0,0,0,0,0,0,0,0,0,0,0,0.00312418836666667,0
"Propane, 2,2-difluoro-",0,0,0,0,0.0062826475,0,0,0,0,0,0,0,0,0.00304469853333333
"Propanenitrile",0,0,0,0,0,0,0.00959871836666667,0,0,0,0,0,0,0
"Propanenitrile, 3-hydroxy-",0.453251092,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propanoic acid, 3-amino-2-methyl-",0,0,0,0,0.0123581079,0,0,0,0,0,0,0,0,0
"Propofol",0.0086805084,0.00501897603333333,0,0,0,0,0,0,0,0,0,0,0,0
"Styrene",0,0,0,0,0,0,0,0,0,0,0.0183685819,0,0.00765777316666667,0
"Tetrachloroethylene",0,0,0.000993716433333333,0.00109983923333333,0,0,0.00179409026666667,0.0007033318,0,0.002162197,0,0,0,0
"Tetradecane",0,0,0,0,0,0.00646220996666667,0,0,0.00516903806666667,0,0,0,0,0
"Tetrahydrofuran",0,0,0,0,0,0.00254503703333333,0,0,0,0,0,0,0,0
"Thiocyanic acid, methyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0.0006701534,0
"Thiophene",0,0,0,0,0,0,0.0043816106,0,0,0,0,0,0,0
"Toluene",0,0,0,0,0,0,0,0,0,0,0,0,0.0524611672333333,0
"trans--4-Nonene",0,0,0.00233539146666667,0,0,0,0,0,0,0,0,0,0,0
"Trichloromonofluoromethane",0,0,0,0,0,0,0,0,0,0,0,0,0.0477017702666667,0
"Tridecane",0,0,0,0,0,0,0,0,0,0,0.0342627143666667,0,0,0
"Undecanal",0,0,0,0.00234479036666667,0,0,0,0,0,0,0,0,0,0
"Undecane",0,0,0.0117719113333333,0,0,0,0,0,0,0,0,0,0,0
"Urea, tetramethyl-",0,0,0,0,0,0,0,0.0019564221,0,0.0006250673,0,0,0,0
"α-Pinene",0,0,0,0,0,0,0,0,0,0.00337385973333333,0,0,0,0
"α,α,α,2,3,5,6-Heptafluoro-p-xylene",0,0,0,0,0,0,0,0,0.0007212961,0,0,0,0,0
"β-Myrcene",0.0017505009,0,0,0,0,0,0,0,0,0,0,0,0,0
"β-Phellandrene",0,0,0,0,0,0,0,0,0,0,0.00527807863333333,0,0,0
"γ-Terpinene",0,0,0,0,0.0013291834,0,0,0,0,0,0,0,0,0
