"","D8d0","D8d1","D8d2","D8d3","D8d4","D8d5","D8d6","D8d9","D8d11","D8d13","D8d16","D8d18","D8d20","D8d24","D8d27","D8d31","D8d34","D8d39","D8d46","D8d53","D8d66","D8d72"
"2,6,6-Trimethylcyclohexa-1,4-dienecarbaldehyde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215452354666667,0.0148436223666667,0.0118700822,0.032194512,0.00165322663333333,0,0,0
"2(3H)-Furanone, 5-butyldihydro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862572476666667,0,0,0,0,0,0,0,0
"2(3H)-Furanone, 5-ethyldihydro-",0,0,0,0,0,0,0,0.0346134322666667,0.0164480680333333,0.0359191694666667,0.0462144655,0.0255873641666667,0.0351518349,0,0,0.120146574166667,0,0.29563765,0.0500054739333333,0.116298292966667,0,0
"2(3H)-Furanone, 5-hexyldihydro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137912771666667,0,0.0915727597666667,0,0,0,0,0
"2(3H)-Furanone, dihydro-3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0.00722525636666667,0.0236417579666667,0.00366443746666667,0.0100284332,0.0092452554,0.00962582646666667,0,0,0,0,0
"2(3H)-Furanone, dihydro-5-methyl-",0,0,0,0,0,0,0,0.0211166155333333,0,0,0.0622517574333333,0,0.0582176803,0.120959861066667,0.329877442933333,0.460107976033333,0.428749899533333,1.20461666966667,0.235144865233333,0.249005563033333,0.0435953531666667,0
"2(3H)-Furanone, dihydro-5-propyl-",0,0,0,0,0.0132309263333333,0,0,0,0,0,0,0,0,0,0,0.00543166283333333,0,0,0,0,0,0
"2(5H)-Furanone",0,0.00721079623333333,0,0,0,0,0,0.0101969891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2H-1,2-Oxazine, 6-(4-chlorophenyl)tetrahydro-2-methyl-",0,0,0,0.000963252266666667,0,0,0,1.07653356773333,0,0,0,0.0064621813,0.0105839356666667,0,0,0,0,0,0,0,0,0
"2H-Pyran-2-one, tetrahydro-",0,0.0063668979,0,0,0,0,0,0,0,0,0,0,0,0.00866438796666667,0.003925993,0,0,0,0.0144296817333333,0,0,0
"3-Aminopropionitrile",0,0,0,0,0,0.582273149333333,0,0,0,0,0.1212482509,0,0.795834757766667,0,0,0,0,0,0.0515248509,0,0,0
"3-Bromooctane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236716957666667,0,0,0,0,0,0,0
"3-Buten-1-ol, 3-methyl-",0,0,0,0,0,0.00362604866666667,0.00605884563333333,0.1120064545,0.0435166186333333,0.0442384475666667,0.0410562605333333,0.0250094491333333,0.0674400154333333,0.00423312976666667,0.0135487786333333,0.0148161326666667,0.0144147199,0.050060937,0.00713588246666667,0.0281044691666667,0.00392013806666667,0.0046255127
"3-Carene",0,0,0,0,0,0,0,0.0184731876,0.0136572321,0,0,0,0,0,0.0075689487,0,0,0,0.0043746387,0,0,0
"3-Furaldehyde",0,0,0,0,0.000791243233333333,0,0,0,0,0,0,0,0.0162044290333333,0,0,0,0,0,0,0,0,0
"3-Hexanone",0,0,0,0,0,0,0,0,0,0,0.272021771233333,0.377413634933333,0.8093202911,0.0351135593,0.0230093851333333,0.0214809547,0,0,0,0.0167903053,0,0
